"","sub"
"32","Hi everybody!

I'm writing a web application in java (tomcat + jsp/servlets + database 
access with postgreSQL).

This will be released under the GPL and will eventually be useful as a 
framework for other web applications.

The application main focus is e-commerce, but not limited to that.

I would like to use some form of cryptography to protect data on the 
database, but I have some problem figuring out the right approach.

Above all, how to store passwords and keys in a shared web server.

A problem that I was unable to solve is how to store keys for 
encryption/decryption. The api that I'm using is the jca (jdk1.4.x), 
and the methods of saving generated keys in keystores fails always. 

I can serialize the object, and store in the database, but this is not 
the most secure approach: this key is needed to decrypt data in the 
database, but the database is accessible from the web application. 
Assuming that I can find a good and secure place where to store the 
database password, I can use a different database with different 
user... Argh... to complex and doesn't really solve the problem.

Where I can found good documentation about this topic?

There is another approach that I would share with the list, something I 
thought that can be of bit interest, but probabily wrong and insecure. 
After all, I'm a real beginner in secure programming, and I'm here to 
learn methods and technics.

First of all, I need a secure way to keep database passwords secure, so 
I have to keep them separate from the main server. The right approach 
could be using a small java bean application that run as normal user 
(not tomcat, so it is not shared with other web services or, worst, the 
nobody user), that has no shell login, but has a default home directory 
or a place where it can hold passwords and keys.

The web application could then open an ssl connection (could be done in 
the init method at server startup) to get database passwords. The small 
bean could check via code signature/rmi/whatever else that the source 
is the right one, and handle all the database connections, or give the 
db connection/password to the main web application.

In this way, we solve the problem of keeping the keys and passwords in 
shared directories, and also, an attacker should get root/bean user 
account to read data. This is not perfect, and works only if your 
provider gives the opportunity to configure a separated java 
application (that means, really, another server running in the 
background).

Any suggestions?

Thank you,
Mario Torre
-- 
Please avoid sending me Word or PowerPoint attachments.
See http://www.fsf.org/philosophy/no-word-attachments.html 

"
"33","Oooops!

Doesn't work at all. Got this on startup and on any attempt to change folder (which fail)

/Anders

can't read ""flist(seqcount,lists/exmh,unseen)"": no such element in array
    (reading value of variable to increment)
    invoked from within
""incr flist(seqcount,$folder,$seq) $delta""
    (procedure ""Seq_Del"" line 16)
    invoked from within
""Seq_Del $exmh(folder) $mhProfile(unseen-sequence) $msgid""
    (procedure ""MsgSeen"" line 7)
    invoked from within
""MsgSeen $msgid""
    (procedure ""MsgShow"" line 12)
    invoked from within
""MsgShow $msgid""
    (procedure ""MsgChange"" line 17)
    invoked from within
""MsgChange 73 show""
    invoked from within
""time [list MsgChange $msgid $show""
    (procedure ""Msg_Change"" line 3)
    invoked from within
""Msg_Change $msg(id) $show""
    (procedure ""Msg_Show"" line 7)
    invoked from within
""Msg_Show cur""
    (""eval"" body line 1)
    invoked from within
""eval $msgShowProc""
    (procedure ""FolderChange"" line 55)
    invoked from within
""FolderChange lists/exmh {Msg_Show cur}""
    invoked from within
""time [list  FolderChange $folder $msgShowProc""
    (procedure ""Folder_Change"" line 3)
    invoked from within
""Folder_Change $exmh(folder)""
    (procedure ""Exmh"" line 101)
    invoked from within
""Exmh""
    (""after"" script)



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers

"
"34","On Thursday, August 22, 2002, at 10:24  AM, Justin Mason wrote:

> I plan to
>
> 1. figure out the freqs tonight, suggest what tests to drop
> 2. wait for comments
> 3. drop tests that nobody cares about tomorrow
> 4. sed out the dropped tests from the mass-check logs

This step is unneccesary -- unless you've changed the scripts 
much, any test in the logs which aren't in the rules files will 
just be ignored I think.  You do seem to have changed the 
logs-to-c script and removed the bit where you could specify 
immutable tests at the top -- I took a brief glance through the 
code and couldn't fully make out how it had changed.  I think we 
want to be able to specify immutable test scores though in there 
somewhere -- or is that now handled by the tflags stuff?  For 
the last couple releases, any test which occurred infrequently 
(by thumb-in-the-wind subjective criteria) I set to have 
immutable scores, as well as a handful of other rules.

> 5. kick off the GA
>
> BTW I'll be away this weekend at Linuxbierwanderung, so Craig, 
> you might
> have to run the GA. ;)

Shouldn't be a problem.  Assuming I can get the darned thing to 
compile :)

C


"
"35","In a message dated: Thu, 22 Aug 2002 13:03:57 CDT
Ulises Ponce said:

>Thanks Tony, but I think doing it using component files will get a .signature 
>by default, but I have many diferent signatures and I want to insert one of 
>that signatures using a keyboard command. So for a message I will insert a 
>signature, but for another message I will insert a different signature.
>
>Is it possible? I am using sedit for my messages.

Ahm, if you don't object to using a mouse for such things, exmh has 
the ability to insert different sigs on demand.  Create a bunch of 
different sig files, all beginning with .signature, and at start up, 
exmh will load them all.  In the Sedit window, you'll see a Sign...
menu item which will allow you to select between each of the listed 
.signature files for *that* e-mail.  You can actually use several if 
you'd like (though I don't remember what Preferences... option allows 
for this).

However, the signature gets added on send, not inserted directly into 
the existing Sedit window prior to composition.

I currently have 6 different sig files I can choose between.

Additionally, if a .signature file has the execute bit turned on, 
exmh will attempt to execute the file and use the stdout of the 
script as your signature.

I hope this helps some.
-- 

Seeya,
Paul
--
	It may look like I'm just sitting here doing nothing,
   but I'm really actively waiting for all my problems to go away.

	 If you're not having fun, you're not doing it right!




_______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users

"
"36","Thanks Paul,
That is the way I am doing right now, but I would like to NOT use the mouse 
for such things. Any other clue?

-- 

Saludos,
Ulises

 Speaking words of wisdom ...


> In a message dated: Thu, 22 Aug 2002 13:03:57 CDT
> Ulises Ponce said:
> 
> >Thanks Tony, but I think doing it using component files will get a .signature 
> >by default, but I have many diferent signatures and I want to insert one of 
> >that signatures using a keyboard command. So for a message I will insert a 
> >signature, but for another message I will insert a different signature.
> >
> >Is it possible? I am using sedit for my messages.
> 
> Ahm, if you don't object to using a mouse for such things, exmh has 
> the ability to insert different sigs on demand.  Create a bunch of 
> different sig files, all beginning with .signature, and at start up, 
> exmh will load them all.  In the Sedit window, you'll see a Sign...
> menu item which will allow you to select between each of the listed 
> .signature files for *that* e-mail.  You can actually use several if 
> you'd like (though I don't remember what Preferences... option allows 
> for this).
> 
> However, the signature gets added on send, not inserted directly into 
> the existing Sedit window prior to composition.
> 
> I currently have 6 different sig files I can choose between.
> 
> Additionally, if a .signature file has the execute bit turned on, 
> exmh will attempt to execute the file and use the stdout of the 
> script as your signature.
> 
> I hope this helps some.
> -- 
> 
> Seeya,
> Paul
> --
> 	It may look like I'm just sitting here doing nothing,
>    but I'm really actively waiting for all my problems to go away.
> 
> 	 If you're not having fun, you're not doing it right!
> 
> 
> 
> 
> _______________________________________________
> Exmh-users mailing list
> Exmh-users@redhat.com
> https://listman.redhat.com/mailman/listinfo/exmh-users




_______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users

"
"37","Folks,
 
my first time posting - have a bit of Unix experience, but am new to Linux.

 
Just got a new PC at home - Dell box with Windows XP. Added a second hard disk
for Linux. Partitioned the disk and have installed Suse 7.2 from CD, which went
fine except it didn't pick up my monitor.
 
I have a Dell branded E151FPp 15"" LCD flat panel monitor and a nVidia GeForce4
Ti4200 video card, both of which are probably too new to feature in Suse's default
set. I downloaded a driver from the nVidia website and installed it using RPM.
Then I ran Sax2 (as was recommended in some postings I found on the net), but
it still doesn't feature my video card in the available list. What next?
 
Another problem. I have a Dell branded keyboard and if I hit Caps-Lock twice,
the whole machine crashes (in Linux, not Windows) - even the on/off switch is
inactive, leaving me to reach for the power cable instead.
 
If anyone can help me in any way with these probs., I'd be really grateful -
I've searched the 'net but have run out of ideas.
 
Or should I be going for a different version of Linux such as RedHat? Opinions
welcome.
 
Thanks a lot,
Peter

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
"38","Just got this ... I was just reading mail, but in a very dark
room, where the keyboard is illuminated mostly by the light from
the (laptop) screen.   I think I put my fingers on the wrong keys.
(I mostly use the keyboard exclusively while running exmh).

This is from today's cvs (the fixes for the problems I mentioned
yesterday are included) - I eventually managed to contact the cvs
server.

expected integer but got """"
    while executing
""incr m""
    (procedure ""MhSeqExpand"" line 12)
    invoked from within
""MhSeqExpand $folder $msgids""
    (procedure ""MhSeq"" line 2)
    invoked from within
""MhSeq $folder $seq $how $oldmsgids $msgids""
    (procedure ""Mh_SequenceUpdate"" line 54)
    invoked from within     
""Mh_SequenceUpdate $folder replace $seq $msgids""
    (procedure ""Seq_Set"" line 4)
    invoked from within             
""Seq_Set $folder cur $msgid""
    (procedure ""Mh_SetCur"" line 7)      
    invoked from within                     
""Mh_SetCur $exmh(folder) $msgid""
    (procedure ""MsgChange"" line 5)              
    invoked from within                             
""MsgChange - noshow""
    invoked from within                                 
""time [list MsgChange $msgid $show""
    (procedure ""Msg_Change"" line 3)
    invoked from within                                     
""Msg_Change $select(sel) noshow""
    (procedure ""SelectTypein"" line 14)                          
    invoked from within
""SelectTypein .mid.right.top.msg -""
    (command bound to event)

kre

ps: I have the sequences window vertical instead of horizontal, and the
""colours from the ftoc"" stuff all deleted, and it is looking just about as
good as the old unseen window used to look.   I still have some work to
do to make it a little nicer (listboxes seem to have some strange habits)
and then I need to make it all optional and parameterized, at the minute
I'm just embedding stuff in the code, much quicker for prototyping.  Once
its done, I'll send a patch for someone to look over.



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers

"
"39","In a message dated: Thu, 22 Aug 2002 13:53:55 CDT
Ulises Ponce said:

>Thanks Paul,
>That is the way I am doing right now, but I would like to NOT use the mouse 
>for such things. Any other clue?

The best I can think of is to figure out what the command being 
issued by exmh is that selects and inserts the sig and bind that to a 
key sequence.  That shouldn't be *too* difficult, it's just a matter 
of figuring out the tcl (something my perl-based brain isn't excited 
about :)
-- 

Seeya,
Paul
--
	It may look like I'm just sitting here doing nothing,
   but I'm really actively waiting for all my problems to go away.

	 If you're not having fun, you're not doing it right!




_______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users

"
"40","Chris Haun wrote:
> A LifeGem is a certified, high quality diamond created from the carbon of 
> your loved one as a memorial to their unique and wonderful life.

Why wait until you're dead? I'm sure there's enough carbon in
the fat from your typical liposuction job to make a decent diamond.

- Joe



http://xent.com/mailman/listinfo/fork

"
"41","On Thu, 22 Aug 2002, Joseph S. Barrera III wrote:
--]Why wait until you're dead? I'm sure there's enough carbon in
--]the fat from your typical liposuction job to make a decent diamond.

So thats why I keep seeing DeBeers agents hovering around me.

-tom(diamonds in the folds of my flesh)wsmf


http://xent.com/mailman/listinfo/fork

"
"42","Joseph S. Barrera III wrote:

> Chris Haun wrote:
>
>> A LifeGem is a certified, high quality diamond created from the 
>> carbon of your loved one as a memorial to their unique and wonderful 
>> life.
>
>
> Why wait until you're dead? I'm sure there's enough carbon in
> the fat from your typical liposuction job to make a decent diamond.
>
> - Joe
>
Oh, hell - what about excrement? I'd love to be able to say - No, the 
sun doesn't shine out of my ass, but there's the occasional diamond. ;-).

Owen


http://xent.com/mailman/listinfo/fork

"
"43","Update on this for anyone that's interested, and because I like closed 
threads... nothing worse than an infinite while loop, is there?

I ended up formatting a floppy on my flatmate's (un-networked) P100 running 
FAT16 Win95, and mcopied the contents of the bootdisk across. Now I have a 
FAT16 Win98 install running alongside Slackware, and can play Metal Gear 
Solid when the mood takes me ;)

/Ciaran.

On Wednesday 21 August 2002 16:21, Ciaran Johnston wrote:
> Dublin said:
> > If you copy the files from your disk to the c: partition and mark it as
> > active it should work ...
>
> Yeah, I figured that, but it doesn't seem to ... well, if that's the case
> I'll give it another go tonight, maybe come back with some error messages.
>
> Just to clarify for those who didn't understand me initially - I have a
> floppy drive installed, but it doesn't physically work. There's nowhere
> handy to pick one up where I am, and I don't fancy waiting a few days for
> one to arrive from Peats.
>
> Thanks for the answers,
> Ciaran.
>
> > You especially need io.sys, command.com and msdos.sys
> >
> > your cd driver .sys and read the autoexec.bat and config.sys files for
> > hints on what you did with your boot floppy <g>
> >
> > P
> >
> > On Wed, 2002-08-21 at 14:07, Ciaran Johnston wrote:
> >> Hi folks,
> >> The situation is this: at home, I have a PC with 2 10Gig HDDs, and no
> >> (working) floppy drive. I have been running Linux solely for the last
> >> year, but recently got the urge to, among other things, play some of
> >> my Windoze games. I normally install the windows partition using a
> >> boot floppy which I have conveniently zipped up, but I haven't any way
> >> of writing or reading a floppy.
> >> So, how do I go about:
> >> 1. formatting a C: drive with system files (normally I would use
> >> format /s c: from the floppy).
> >> 2. Installing the CDROM drivers (my bootdisk (I wrote it many years
> >> ago) does this normally).
> >> 3. Booting from the partition?
> >>
> >> I wiped all my linux partitions from the first drive and created
> >> partitions for Windows (HDA1) Slackware and RedHat. I used cfdisk for
> >> this. I made the first drive (hda) bootable. I then installed the
> >> windows partition in LILO and reran lilo (installed in MBR). I copied
> >> the contents of boot.zip to my new windows partition and tried to boot
> >> it - all I get is a garbled line of squiggles.
> >>
> >> Anyone any ideas? I can't think of anywhere in Athlone to get a new
> >> floppy drive this evening...
> >>
> >> Thanks,
> >> Ciaran.
> >>
> >>
> >>
> >> --
> >> Irish Linux Users' Group: ilug@linux.ie
> >> http://www.linux.ie/mailman/listinfo/ilug for (un)subscription
> >> information. List maintainer: listmaster@linux.ie


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
"44","
> From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf Of
Dave
> Long
> Sent: Thursday, August 22, 2002 11:12 AM
> To: fork@example.com
> Subject: RE: The Curse of India's Socialism
> 
> 
> 
> When I'd read that ""getting legal title
> can take 20 years"", when I believe that
> 1 year ought to be more than sufficient,
> (and helped by the Cairo reference) I'd
> assumed that we were talking about the
> urban poor.
> 
> If I see people living in mansions, or
> even in suburban subdivisions, I assume
> they didn't have too much trouble with
> their titles.

Pg 177:
In another country, a local newspaper, intrigued by our evidence of
extralegal real estate holdings, checked to see if the head of state's
official residence had a recorded title.  It did not.

Pg 92:
The value of land in the formal sector of Lima averages US$50 per square
meter, whereas in the area of Gamarra, where a great deal of Peru's
informal manufacturing sector resides, the value per square meter can go
as high as US$3,000.

==========

I'd have made the same assumption you did.  De Soto says that isn't
correct.  You can find mansions that don't have title.  A lot of them,
in fact.  But they can't be used for collateral for a loan, or otherwise
participate as 'capital' because of their extra-legal status.

 
> > Mr. Long, I think you'd particularly enjoy the De Soto work.
> 
> On the ""to find"" list.  Any chance of
> an explanation of that ""Bell Jar"" in
> the meantime?

French historian Fernand Braudel (so Braudel's Bell Jar, not De Soto's)

==>

The key problem is to find out why that sector of society of the past,
which I would not hesitate to call capitalist, should have lived as if
in a bell jar, cut off from the rest; why was it not able to expand and
conquer the whole of society? ... [Why was it that] a significant rate
of capital formation was possible only in certain sectors and not in the
whole market economy of the time? ... It would perhaps be teasingly
paradoxial to say that whatever was in short supply, money certainly was
not ... so this was an age where poor land was bought up and magnificent
country residents built ... [How do we] resolve the contradiction ...
between the depressed economic climate and the splendors of Florence
under Lorenzo the Magnificent?
 

--------------

De Soto's theory is that the Bell Jar is formed when you segregate those
who have *practical* access to legal property rights and those who do
not.  The poor[1] have property -- lots and lots of property.  What they
don't have is access to the systems where we turn property into capital
and allow it to start growing.  Their property can only be exchanged
with a small section of people who know them personally.

[1] Actual poor people, not 'poor' Americans with a living standard that
is the envy of most of the world.


http://xent.com/mailman/listinfo/fork

"
"45","Has anyone seen/heard of/used some package that would let a random person 
go to a webpage, create a mailing list, then administer that list.  Also 
of course let ppl sign up for the lists and manage their subscriptions. 
Similar to the old listbot.org, but i'd like to have it running on my 
server not someone elses :)

Chris

http://xent.com/mailman/listinfo/fork

"
"46","--==_Exmh_267413022P
Content-Type: text/plain; charset=us-ascii

> From:  Anders Eriksson <aeriksson@fastmail.fm>
> Date:  Thu, 22 Aug 2002 20:23:17 +0200
>
> 
> Oooops!
> 
> Doesn't work at all. Got this on startup and on any attempt to change folde
> r (which fail)

~sigh~  I'd already found that and checked it in....apparently I did so after 
you checked it out and before you sent this mail...I hoped I was fast enough 
that you wouldn't see it.

Try again!

Chris

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers.




--==_Exmh_267413022P
Content-Type: application/pgp-signature

-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.0.6 (GNU/Linux)
Comment: Exmh version 2.2_20000822 06/23/2000

iD8DBQE9ZUlVK9b4h5R0IUIRAr4LAJ9Mhzgw03dF2qiyqtMks72364uaqwCeJxp1
23jNAVlrHHIDRMvMPXnfzoE=
=HErg
-----END PGP SIGNATURE-----

--==_Exmh_267413022P--



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers

"
"47","An apparent quote from Dubya, from the Times (sent to me by my Dad):

http://www.timesonline.co.uk/printFriendly/0,,1-43-351083,00.html

------------------------------------------------------------------------------
TONY BLAIR's special relationship with George W. Bush is under
considerable strain. Not only do the two disagree on Yassir Arafat's
tenure as leader of the Palestinian Authority, but Blair has started
telling disparaging anecdotes about the President.

Baroness Williams of Crosby recalled a story told to her by 'my good
friend Tony Blair' recently in Brighton. Blair, Bush and Jacques
Chirac were discussing economics and, in particular, the decline of
the French economy. 'The problem with the French,' Bush confided in
Blair, 'is that they don't have a word for entrepreneur.'
------------------------------------------------------------------------------

R
http://xent.com/mailman/listinfo/fork

"
"48","This is an automated response to a message you have sent to hauns_froehlingsdorf@infinetivity.com.

I will be out of the office until Monday, August 26 2002.

I will reply to your email when I return.

Hauns

___________________________________

Hauns Froehlingsdorf
Network/Systems Manager
infinetivity, inc.
952-225.4200
http://www.infinetivity.com



"
"49",">>>>> On Thu, 22 Aug 2002, ""Chris"" == Chris Garrigues wrote:

  Chris> --==_Exmh_267413022P Content-Type: text/plain;
  Chris> charset=us-ascii

  +> From:  Anders Eriksson <aeriksson@fastmail.fm> Date:  Thu, 22 Aug
  +> 2002 20:23:17 +0200

  +> Oooops!

  +> Doesn't work at all. Got this on startup and on any attempt to
  +> change folde r (which fail)

  Chris> ~sigh~ I'd already found that and checked it in....apparently
  Chris> I did so after you checked it out and before you sent this
  Chris> mail...I hoped I was fast enough that you wouldn't see it.

  Chris> Try again!


Works like a charm. It's like the box was on drugs or something. 

However, while testing it a selected my favourite folder (l-k) and 
marked ~400 messages unread. THAT took forever, or about as long as 
Catch-up Unseen did before. Any suggestions?

/A




_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers

"
"50","Al white wrote:

 >erm... it runs Solaris x86 as standard...

It runs Solaris 8 x86 as standard.
(I was joking Al)

M.


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
"51","Hi,

Thank you for the useful replies, I have found some interesting 
tutorials in the ibm developer connection.

https://www6.software.ibm.com/developerworks/education/j-sec1

and

https://www6.software.ibm.com/developerworks/education/j-sec2

Registration is needed.

I will post the same message on the Web Application Security list, as 
suggested by someone.

For now, I thing I will use md5 for password checking (I will use the 
approach described in secure programmin fo linux and unix how-to).

I will separate the authentication module, so I can change its 
implementation at anytime.

Thank you again!

Mario Torre
-- 
Please avoid sending me Word or PowerPoint attachments.
See http://www.fsf.org/philosophy/no-word-attachments.html 

"
"52","--==_Exmh_592622610P
Content-Type: text/plain; charset=us-ascii

> From:  Anders Eriksson <aeriksson@fastmail.fm>
> Date:  Thu, 22 Aug 2002 23:14:20 +0200
>
> 
> >>>>> On Thu, 22 Aug 2002, ""Chris"" == Chris Garrigues wrote:
> 
>   Chris> --==_Exmh_267413022P Content-Type: text/plain;
>   Chris> charset=us-ascii
> 
>   +> From:  Anders Eriksson <aeriksson@fastmail.fm> Date:  Thu, 22 Aug
>   +> 2002 20:23:17 +0200
> 
>   +> Oooops!
> 
>   +> Doesn't work at all. Got this on startup and on any attempt to
>   +> change folde r (which fail)
> 
>   Chris> ~sigh~ I'd already found that and checked it in....apparently
>   Chris> I did so after you checked it out and before you sent this
>   Chris> mail...I hoped I was fast enough that you wouldn't see it.
> 
>   Chris> Try again!
> 
> 
> Works like a charm. It's like the box was on drugs or something. 
> 
> However, while testing it a selected my favourite folder (l-k) and 
> marked ~400 messages unread. THAT took forever, or about as long as 
> Catch-up Unseen did before. Any suggestions?

That's fixed now.  I thought I'd caught all the occurrences of that particular 
coding stupidity.

Chris

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers.




--==_Exmh_592622610P
Content-Type: application/pgp-signature

-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.0.6 (GNU/Linux)
Comment: Exmh version 2.2_20000822 06/23/2000

iD8DBQE9ZV2CK9b4h5R0IUIRAnWSAJwLZJvK8S4LQRv57W3WIbG9U2P+ywCdExEL
kJaVNhuHKW9tp29wID5EjbU=
=HDIb
-----END PGP SIGNATURE-----

--==_Exmh_592622610P--



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers

"
"53","Mark Twomey joked:
>  >erm... it runs Solaris x86 as standard...
>
> It runs Solaris 8 x86 as standard.
> (I was joking Al)

And will run Solaris 9 when Sun catch up with the x86 drivers and kernel.

Although don't hold your breath for the free DVD. It will never come.

(Spot the person who applied for the free Solaris 9 DVD, only to be told
three months later it is no longer available.<mutter>)

FWIW Solaris and Linux seem to be getting closer all the time. I can no
longer see any specific reason why one is better than the other. Expect Red
Hat Solaris 11 any time now... <grin>

- Matthew



__________________________________________________
Do You Yahoo!?
Everything you'll ever need on one web page
from News and Sport to Email and Music Charts
http://uk.my.yahoo.com


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
"54","On Thu, Aug 22, 2002 at 10:58:34PM +0200, Robert Harley wrote:
> An apparent quote from Dubya, from the Times (sent to me by my Dad):
> 
> http://www.timesonline.co.uk/printFriendly/0,,1-43-351083,00.html

http://www.snopes.com/quotes/bush.htm

Claim:   President George W. Bush proclaimed, ""The problem with
the French is that they don't have a word for entrepreneur.""

Status:   False.

Origins:   Yet another French fried ""George W. Bush is dumb""
story has been taken up by those who like their caricatures
drawn in stark, bold lines. According to scuttlebutt that
emerged in the British press in July 2002, President Bush,
Britain's Prime Minister Tony Blair, and France's President
Jacques Chirac were discussing economics and, in particular,
the decline of the French economy. ""The problem with the
French,"" Bush afterwards confided in Blair, ""is that they don't
have a word for entrepreneur.""

The source was Shirley Williams, also known as the Baroness
Williams of Crosby, who claimed ""my good friend Tony Blair"" had
recently regaled her with this anecdote in Brighton.

Lloyd Grove of The Washington Post was unable to reach Baroness
Williams to gain her confirmation of the tale, but he did
receive a call from Alastair Campbell, Blair's director of
communications and strategy. ""I can tell you that the prime
minister never heard George Bush say that, and he certainly
never told Shirley Williams that President Bush did say it,""
Campbell told The Post. ""If she put this in a speech, it must
have been a joke.""

This is far from the first time Bush has been made the butt of
a jibe meant to showcase what some perceive as his less than
stellar intellectual abilities. Without straining our memories
too hard, we can come up with three other instances we've
chronicled on this site. In the summer of 2001, the joke of the
moment centered upon a supposed study that had resulted in the
ranking of Presidential IQs, with George W. Bush being pegged
as the Chief Executive who scraped the bottom of the
intelligence barrel. In December 2000 it was a fake Nostradamus
quatrain which pontificated that the ""village idiot"" would win
the 2000 Presidential election. And in the spring of 2002, it
was the story of Bush's waving at Stevie Wonder that set folks
to chortling up their sleeves.

Stories that illustrate this widely believed intellectual
shortcoming will always waft after George W. Bush because they
seemingly confirm what many already hold as true about this
public figure, that he's not the brightest fellow that's ever
been. It is human nature to revel in yarns that the hearer at
some level agrees with, thus tales of this sort will always
fall upon appreciative ears.

Barbara ""ears of corn"" Mikkelson

Last updated:   29 July 2002

http://xent.com/mailman/listinfo/fork

"
"55","hehe sorry but if you hit caps lock twice the computer crashes?  theres one
ive never heard before... have you tryed Dell support yet? I think dell
computers prefer RedHat... (dell provide some computers pre-loaded with red
hat) i dont know for sure tho! so get someone elses opnion as well as
mine...

-----Original Message-----
From: ilug-admin@linux.ie [mailto:ilug-admin@linux.ie]On Behalf Of Peter
Staunton
Sent: 22 August 2002 19:58
To: ilug@linux.ie
Subject: [ILUG] Newbie seeks advice - Suse 7.2


Folks,

my first time posting - have a bit of Unix experience, but am new to Linux.


Just got a new PC at home - Dell box with Windows XP. Added a second hard
disk
for Linux. Partitioned the disk and have installed Suse 7.2 from CD, which
went
fine except it didn't pick up my monitor.

I have a Dell branded E151FPp 15"" LCD flat panel monitor and a nVidia
GeForce4
Ti4200 video card, both of which are probably too new to feature in Suse's
default
set. I downloaded a driver from the nVidia website and installed it using
RPM.
Then I ran Sax2 (as was recommended in some postings I found on the net),
but
it still doesn't feature my video card in the available list. What next?

Another problem. I have a Dell branded keyboard and if I hit Caps-Lock
twice,
the whole machine crashes (in Linux, not Windows) - even the on/off switch
is
inactive, leaving me to reach for the power cable instead.

If anyone can help me in any way with these probs., I'd be really grateful -
I've searched the 'net but have run out of ideas.

Or should I be going for a different version of Linux such as RedHat?
Opinions
welcome.

Thanks a lot,
Peter

--
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
"56","At 17:10 22/08/2002 +0100, Nick Hilliard wrote:
> > apologies for the possible silly question (i don't think it is, but),
> > but is Eircom's aDSL service NAT'ed?
>
>No - you get unfiltered access with a real (but dynamic) IP address.
>
> > and what implications would that have for VoIP? I know there are
> > difficulties with VoIP or connecting to clients connected to a NAT'ed
> > network from the internet wild (i.e. machines with static, real IPs)
>
>You will probably suffer from the high latency of DLS lines.  Typically,
>you're talking about 50ms RTT to the local bas, which is pretty high.
>If your voip application can handle this, then you're ok.
>
>Nick

what's the deal with all this latency? it's not like that in other places 
where I've used dsl. i read some story about it being done that way to 
allow greater distances to be covered or something like that. however, my 
knowledge of physics is really only newtonian, and I don't understand how 
worsening latency could possibly improve the reliability of a 2000 foot 
long piece of copper. Perhaps it has something to do with stretching the 
time-space continuum? can someone explain this in words of five syllables 
or less?

a.



>_______________________________________________
>IIU mailing list
>IIU@iiu.taint.org
>http://iiu.taint.org/mailman/listinfo/iiu

--

Antoin O Lachtnain
**  antoin@eire.com ** http://www.eire.com ** +353-87-240-6691

_______________________________________________
IIU mailing list
IIU@iiu.taint.org
http://iiu.taint.org/mailman/listinfo/iiu

"
"57","Political mail (the snail kind) doesn't bother me.  I like it a lot of the 
time, because as crap as it is at least it's not the kind of info you get 
on TV.  Particularly for small time local politics, it's the best way to 
get information.

but what matters is that mail is speech, and political email has to be as
well protected as any other political speech.  Spam is *the* tool for
dissident news, since the face that it's unsolicited means that recipients
can't be blamed for being on a mailing list.






http://xent.com/mailman/listinfo/fork

"
